"Name","Country","Age","Height","Weight","Sex","DOB","PlaceOB","Gold","Silver","Bronze","Total","Sport","Event"
"Yaritza Abel Rojas","Cuba",28,NA,62,"F",NA,"Santiago de Cuba",0,0,0,0,"Judo","Women's -63kg"
"Pablo Abian","Spain",27,1.77,78,"M",1985-12-06,"CALATAYUD",0,0,0,0,"Badminton","Men's Singles"
"Tomomi Abiko","Japan",24,1.73,53,"F",NA,"KUSATSU (JPN)",0,0,0,0,"Athletics","Women's Pole Vault"
"Camille Abily","France",27,1.68,60,"F",1984-05-12,"",0,0,0,0,"Football","Women's Football"
"Endurance Abinuwa","Nigeria",25,1.59,54,"F",NA,"Sapele (NGR)",0,0,0,0,"Athletics","Women's 4 x 400m Relay"
"Khalil Mahmoud K Abir Abdelrahman","Egypt",20,1.62,75,"F",NA,"Alexandria",0,0,0,0,"Weightliftng","Women's 75kg"
"Denis Ablyazin","Russian Federation",20,1.61,NA,"M",1992-03-08,"Penza (RUS)",0,0,0,0,"Gymnstcs-Art","Men's Team, Men's Qualification"
"Bukola Abogunloko","Nigeria",17,1.7,53,"F",NA,"IJERO",0,0,0,0,"Athletics","Women's 4 x 400m Relay"
"Aminata Aboubakar Yacoub","Congo",23,1.66,68,"F",NA,"EPENA (CGO)",0,0,0,0,"Swimming","Women's 50m Freestyle"
"Rabah Aboud","Algeria",31,1.8,64,"M",1981-01-01,"TISSEMSILT (ALG)",0,0,0,0,"Athletics","Men's 5000m"
"Gabrielle Aboudi Onguene","Cameroon",23,1.52,58,"F",NA,"",0,0,0,0,"Football","Women's Football"
"Alaaeldin Abouelkassem","Egypt",21,1.88,82,"M",NA,"",0,1,0,1,"Fencing","Men's Individual Foil, Men's Team Foil"
"Abouhalima Abouhalima","Egypt",18,1.53,55,"M",NA,"ALEX (EGY)",0,0,0,0,"Wrestling","Men's 55kg Greco-Roman"
"Mohamed Aboutrika","Egypt",33,1.82,77,"M",1978-07-11,"",0,0,0,0,"Football","Men's Football"
"Arnaldo Abrantes","Portugal",25,1.84,78,"M",NA,"ALMADA (POR)",0,0,0,0,"Athletics","Men's 200m"
"Amir Abrashi","Switzerland",22,1.72,70,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Erika Abril","Colombia",34,1.58,47,"F",NA,"SAN JOSE DE PARE (COL)",0,0,0,0,"Athletics","Women's Marathon"
"Laura Valentina Abril Restrepo","Colombia",22,1.62,50,"F",NA,"LA CUMBRE (COL)",0,0,0,0,"Cyclng-MntnB","Women's Cross-country"
"Julien Absalon","France",31,1.8,68,"M",NA,"Remiremont (FRA)",0,0,0,0,"Cyclng-MntnB","Men's Cross-country"
"Ayele Abshero","Ethiopia",21,1.68,62,"M",NA,"YEBOBA (ETH)",0,0,0,0,"Athletics","Men's Marathon"
"Methkal Abu Drais","Jordan",28,1.68,62,"M",NA,"ALARDAH (JOR)",0,0,0,0,"Athletics","Men's Marathon"
"Maher Abu Rmilah","Palestine",28,1.72,72,"M",NA,"Jerusalem (PLE)",0,0,0,0,"Judo","Men's -73kg"
"Mohammad Abulibdeh","Jordan",28,1.83,NA,"M",NA,"Amman (JOR)",0,0,0,0,"Taekwondo","Men's -68kg"
"Kanat Abutalipov","Kazakhstan",29,1.68,NA,"M",NA,"Astana (KAZ)",0,0,0,0,"Boxing","Men's Bantam (56kg)"
"Irina Abysova","Russian Federation",31,1.75,58,"F",1980-07-11,"Moscow (RUS)",0,0,0,0,"Triathlon","Women's Triathlon"
"Raidel Acea","Cuba",21,NA,NA,"M",NA,"CIENFUEGOS (CUB)",0,0,0,0,"Athletics","Men's 4 x 400m Relay"
"Abraham Acevedo","Paraguay",22,NA,65,"M",1989-12-09,"ASUNCION",0,0,0,0,"Judo","Men's -66kg"
"Loreto Achaerandio","Spain",20,1.64,NA,"F",NA,"Madrid (ESP)",0,0,0,0,"Gymnstcs-Rhy","Group All-Around"
"Kieron Achara","Great Britain",29,2.08,110,"M",1983-03-07,"",0,0,0,0,"Basketball","Men's Basketball"
"Georgios Achilleos","Cyprus",31,1.72,80,"M",NA,"London (GBR)",0,0,0,0,"Shooting","Men's Skeet"
"Janet Achola","Uganda",24,1.67,52,"F",NA,"LIRA (UGA)",0,0,0,0,"Athletics","Women's 1500m"
"Natalie Achonwa","Canada",19,1.92,83,"F",NA,"",0,0,0,0,"Basketball","Women's Basketball"
"Dallal Merwa Achour","Algeria",17,1.75,60,"F",1994-03-11,"",0,0,0,0,"Volleyball","Women's Volleyball"
"Haikel Achouri","Tunisia",27,1.84,84,"M",NA,"Tunis (TUN)",0,0,0,0,"Wrestling","Men's 84kg Greco-Roman"
"Chantal Achterberg","Netherlands",27,1.71,72,"F",NA,"",0,0,1,1,"Rowing","Women's Eight"
"Luz Mercedes Acosta Valdez","Mexico",31,1.66,63,"F",NA,"Sonora",0,0,0,0,"Weightliftng","Women's 63kg"
"Amy Acuff","United States of America",37,1.88,66,"F",NA,"Port Arthur (USA)",0,0,0,0,"Athletics","Women's High Jump"
"Crox Acuna Rodriguez","Venezuela",22,1.92,89,"M",NA,"Maracay (VEN)",0,0,0,0,"Swimming","Men's 4x100m Freestyle Relay"
"Mariko Adachi","Japan",29,1.62,51,"F",NA,"HIRAKATA (JPN)",0,0,0,0,"Triathlon","Women's Triathlon"
"Yumi Adachi","Japan",23,1.6,NA,"F",1989-07-02,"Saitama (JPN)",0,0,0,0,"SynchrnsdSwm","Women's Teams"
"Idrissa Adam","Cameroon",27,1.78,79,"M",NA,"GAROUA (CMR)",0,0,0,0,"Athletics","Men's 100m"
"Tomasz Adamiec","Poland",30,1.71,73,"M",NA,"HAJNOWKA (POL)",0,0,0,0,"Judo","Men's -73kg"
"Antoine Adams","Saint Kitts and Nevis",23,1.8,79,"M",NA,"Basseterre (SKN)",0,0,0,0,"Athletics","Men's 100m, Men's 200m, Men's 4 x 100m Relay"
"Cammile Adams","United States of America",20,1.73,65,"F",1991-11-09,"Houston (USA)",0,0,0,0,"Swimming","Women's 200m Butterfly"
"Luke Adams","Australia",35,1.89,70,"M",NA,"MVUMI (TAN)",0,0,0,0,"Athletics","Men's 50km Race Walk"
"Lyukman Adams","Russian Federation",23,1.94,87,"M",NA,"Leningrad (RUS)",0,0,0,0,"Athletics","Men's Triple Jump"
"Nicola Adams","Great Britain",29,1.64,NA,"F",NA,"",0,0,0,0,"Boxing","Women's Fly (51kg)"
"Valerie Adams","New Zealand",27,1.93,120,"F",1984-06-10,"Rotorua (NZL)",0,0,0,0,"Athletics","Women's Shot Put"
"Filip Adamski","Germany",29,1.89,90,"M",1983-05-01,"",1,0,0,1,"Rowing","Men's Eight"
"Jakub Adamski","Poland",24,1.83,75,"M",1987-11-11,"GORZOW WIELKOPOLSKI (POL)",0,0,0,0,"Athletics","Men's 4 x 100m Relay"
"Chris Adcock","Great Britain",23,1.83,80,"M",NA,"Leicester",0,0,0,0,"Badminton","Mixed Doubles"
"Jangy Addy","Liberia",27,1.88,88,"M",1985-03-02,"Monrovia (LBR)",0,0,0,0,"Athletics","Men's Decathlon"
"Abrar Osman Adem","Eritrea",18,1.68,58,"M",1994-01-01,"ADI SHIMAGLE (ERI)",0,0,0,0,"Athletics","Men's 5000m"
"Margaret Adeoye","Great Britain",27,1.62,65,"F",NA,"Lagos (NGR)",0,0,0,0,"Athletics","Women's 200m"
"Seun Adigun","Nigeria",25,1.53,52,"F",1987-03-01,"ILLINOIS (USA)",0,0,0,0,"Athletics","Women's 100m Hurdles"
"Jonna Adlerteg","Sweden",17,1.53,NA,"F",1995-06-06,"Vasteras (SWE)",0,0,0,0,"Gymnstcs-Art","Women's Qualification"
"Rebecca Adlington","Great Britain",23,1.79,70,"F",NA,"Mansfield (GBR)",0,0,1,1,"Swimming","Women's 400m Freestyle, Women's 800m Freestyle"
"Nathan Adrian","United States of America",23,2.01,102,"M",1988-07-12,"Bremerton (USA)",1,1,0,2,"Swimming","Men's 100m Freestyle, Men's 4x100m Freestyle Relay"
"Jasper Aerents","Belgium",19,1.9,84,"M",NA,"Gent (BEL)",0,0,0,0,"Swimming","Men's 50m Freestyle, Men's 4x100m Freestyle Relay"
"Sara Aerts","Belgium",28,1.82,64,"F",NA,"Turnhout (BEL)",0,0,0,0,"Athletics","Women's Heptathlon"
"Kseniia Afanaseva","Russian Federation",20,1.58,NA,"F",NA,"Tula (RUS)",0,1,0,1,"Gymnstcs-Art","Women's Team, Women's Qualification"
"Francois Affolter","Switzerland",21,1.86,74,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Alvaro Affonso de Miranda Neto","Brazil",39,NA,NA,"M",1973-05-02,"Sao Paulo (BRA)",0,0,0,0,"Equestrian","Individual Jumping, Team Jumping, RAHMANNSHOF'S BOGENO"
"Christos Afroudakis","Greece",28,1.88,88,"M",NA,"Athzzzna (GRE)",0,0,0,0,"Water Polo","Men's Water Polo"
"Georgios Afroudakis","Greece",35,1.94,103,"M",NA,"Athzzzna (GRE)",0,0,0,0,"Water Polo","Men's Water Polo"
"Dragos Agache","Romania",28,1.75,75,"M",1984-08-03,"Braila (ROU)",0,0,0,0,"Swimming","Men's 100m Breaststroke"
"Alphonsine Agahozo","Rwanda",16,1.6,50,"F",NA,"NYARUGENGE",0,0,0,0,"Swimming","Women's 50m Freestyle"
"Luca Agamennoni","Italy",31,1.88,96,"M",1980-08-08,"",0,0,0,0,"Rowing","Men's Four"
"Mawussi Agbetoglo","Togo",18,NA,NA,"M",NA,"AGOME",0,0,0,0,"Table Tennis","Men's Singles"
"Marilyn Agliotti","Netherlands",33,1.71,61,"F",NA,"BOKSBURG (RSA)",0,0,0,0,"Hockey","Women's Hockey"
"Yannick Agnel","France",20,2.02,90,"M",1992-09-06,"Nimes (FRA)",2,1,0,3,"Swimming","Men's 100m Freestyle, Men's 200m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
"Anna Agrafioti","Greece",21,1.78,76,"F",1991-10-04,"CHOLARGOS (GRE)",0,0,0,0,"Sailing","Women's Laser Radial"
"Ulrika Agren","Sweden",25,1.77,66,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"Renzo Agresta","Brazil",27,NA,NA,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Sabre"
"Mayra Aguiar","Brazil",21,1.78,78,"F",1991-03-08,"Porto Alegre (BRA)",0,0,1,1,"Judo","Women's -78kg"
"Alberto Aguilar","Venezuela",27,1.94,80,"M",1985-09-03,"SAN FEERNANDO (VEN)",0,0,0,0,"Athletics","Men's 4 x 400m Relay"
"Alessandra Aguilar","Spain",34,1.65,50,"F",1978-01-07,"Lugo (ESP)",0,0,0,0,"Athletics","Women's Marathon"
"Sandra Aguilar","Spain",19,1.67,NA,"F",1992-09-08,"Madrid (ESP)",0,0,0,0,"Gymnstcs-Rhy","Group All-Around"
"Macarena Aguilar Diaz","Spain",27,1.7,67,"F",1985-12-03,"",0,0,0,0,"Handball","Women's Handball"
"Inaki Aguilar Vicente","Spain",28,1.89,82,"M",1983-09-09,"Barcelona (ESP)",0,0,0,0,"Water Polo","Men's Water Polo"
"Julen Aguinagalde Akizu","Spain",29,1.96,113,"M",1982-02-12,"",0,0,0,0,"Handball","Men's Handball"
"Jeinkler Aguirre","Cuba",22,NA,NA,"M",NA,"Camaguey (CUB)",0,0,0,0,"Diving","Men's 10m Platform, Men's Synchronised 10m Platform"
"Marcelo Aguirre","Paraguay",19,1.74,66,"M",NA,"ASUNCION (PAR)",0,0,0,0,"Table Tennis","Men's Singles"
"Matias Aguirregaray","Uruguay",23,1.78,79,"M",1989-01-04,"",0,0,0,0,"Football","Men's Football"
"Mikel Aguirrezabalaga Garcia","Spain",28,1.96,92,"M",1984-08-04,"",0,0,0,0,"Handball","Men's Handball"
"Feta Ahamada","Comoros",25,1.6,50,"F",NA,"CLICHY",0,0,0,0,"Athletics","Women's 100m"
"Johanna Ahlm","Sweden",24,1.75,65,"F",1987-03-10,"",0,0,0,0,"Handball","Women's Handball"
"Christian Ahlmann","Germany",37,1.92,88,"M",NA,"MARL (GER)",0,0,0,0,"Equestrian","Individual Jumping, Team Jumping, CODEX ONE"
"Tontowi Ahmad","Indonesia",25,1.78,68,"M",NA,"BANYUMAS",0,0,0,0,"Badminton","Mixed Doubles"
"Waseem Ahmad","Pakistan",35,NA,NA,"M",1977-10-04,"",0,0,0,0,"Hockey","Men's Hockey"
"Elaheh Ahmadi","Islamic Republic of Iran",30,1.6,58,"F",NA,"Tehran (IRI)",0,0,0,0,"Shooting","Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
"Emin Ahmadov","Azerbaijan",25,1.7,74,"M",1986-06-10,"Baku (AZE)",0,0,0,0,"Wrestling","Men's 74kg Greco-Roman"
"Abdelrahman Ahmed","Egypt",23,1.76,NA,"M",1988-07-10,"Cairo (EGY)",0,0,0,0,"Taekwondo","Men's -80kg"
"Abdou Omar Abdou Ahmed","Egypt",23,1.72,66,"M",NA,"SUEZ (EGY)",0,0,0,0,"Wrestling","Men's 66kg Freestyle"
"Ahmed Abdulkareem Ahmed","Iraq",20,NA,NA,"M",NA,"BAGHDAD (IRQ)",0,0,0,0,"Boxing","Men's Welter (69kg)"
"Azneem Ahmed","Maldives",23,1.69,65,"M",1989-01-01,"HDH.KULHUDHUFFUSHI (MDV)",0,0,0,0,"Athletics","Men's 100m"
"Esmat Ahmed","Egypt",25,1.65,68,"F",NA,"ALEX",0,0,0,0,"Weightliftng","Women's 69kg"
"Fareed Ahmed","Pakistan",23,NA,NA,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"Mohammed Ahmed","Canada",21,1.9,60,"M",1991-05-01,"Mogadishu (SOM)",0,0,0,0,"Athletics","Men's 10,000m"
"Shehab Ahmed","Egypt",21,1.74,73,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Odile Ahouanwanou","Benin",21,1.78,71,"F",1991-05-01,"SAVALOU (BEN)",0,0,0,0,"Athletics","Women's 100m Hurdles"
"Murielle Ahoure","Cote d'Ivoire",24,1.7,57,"F",NA,"Abidjan (CIV)",0,0,0,0,"Athletics","Women's 100m, Women's 200m"
"Gaby Diana Ahrens","Namibia",31,1.7,60,"F",NA,"Windhoek (NAM)",0,0,0,0,"Shooting","Women's Trap"
"Mohammad Ahsan","Indonesia",24,1.74,66,"M",1987-07-09,"PALEMBANG",0,0,0,0,"Badminton","Men's Doubles"
"Johannes Ahun","Estonia",24,1.88,80,"M",NA,"Tallinn (EST)",0,0,0,0,"Sailing","Men's RS-X"
"Michelle-Lee Ahye","Trinidad and Tobago",20,1.6,64,"F",1992-10-04,"Port of Spain (TRI)",0,0,0,0,"Athletics","Women's 100m, Women's 4 x 100m Relay"
"Matteo Aicardi","Italy",26,1.92,104,"M",NA,"FINALE LIGURE (ITA)",0,0,0,0,"Water Polo","Men's Water Polo"
"Neringa Aidietyte","Lithuania",29,1.77,61,"F",1983-05-06,"Vilnius (LTU)",0,0,0,0,"Athletics","Women's 20km Race Walk"
"Hannes Aigner","Germany",23,1.83,80,"M",NA,"Augsburg (GER)",0,0,1,1,"Canoe Slalom","Men's Kayak (K1)"
"Ben Ainslie","Great Britain",35,1.83,90,"M",1977-05-02,"Macclesfield (GBR)",0,0,0,0,"Sailing","Men's Finn"
"Tassadit Aissou","Algeria",23,1.84,80,"F",NA,"",0,0,0,0,"Volleyball","Women's Volleyball"
"Souad Ait Salem","Algeria",33,1.67,50,"F",1979-06-01,"MECHERIA NAAMA (ALG)",0,0,0,0,"Athletics","Women's Marathon"
"Gulnafis Aitmukhambetova","Kazakhstan",24,1.75,NA,"F",1988-02-02,"Atyrau (KAZ)",0,0,0,0,"Taekwondo","Women's -67kg"
"Marina Aitova","Kazakhstan",29,1.78,59,"F",NA,"Almaty (KAZ)",0,0,0,0,"Athletics","Women's High Jump"
"Henriette Akaba Edoa","Cameroon",20,1.6,65,"F",1992-07-06,"",0,0,0,0,"Football","Women's Football"
"Muideen Akanji","Nigeria",20,NA,NA,"M",1992-12-05,"Lagos (NGR)",0,0,0,0,"Boxing","Men's Middle (75kg)"
"Tolga Akcayli","St Vincent and the Grenadines",19,NA,NA,"M",NA,"United Kingdom (GBR)",0,0,0,0,"Swimming","Men's 50m Freestyle"
"Tarik Langat Akdag","Turkey",24,NA,NA,"M",NA,"Nandi (KEN)",0,0,0,0,"Athletics","Men's 3000m Steeplechase"
"Ahmet Akdilek","Turkey",24,1.78,67,"M",1988-10-03,"KARAMAN (TUR)",0,0,0,0,"Cycling-Road","Men's Individual Time Trial, Men's Road Race"
"Taha Akgul","Turkey",21,1.92,120,"M",NA,"Sivas (TUR)",0,0,0,0,"Wrestling","Men's 120kg Freestyle"
"Habibollah Jomeh Akhlaghi","Islamic Republic of Iran",27,1.79,84,"M",1985-03-08,"ANDIMESHK (IRI)",0,0,0,0,"Wrestling","Men's 84kg Greco-Roman"
"Artur Akhmatkhuzin","Russian Federation",24,1.82,74,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Foil, Men's Team Foil"
"Esther Akihary","Netherlands",25,1.66,56,"F",NA,"VEENENDAAL (NED)",0,0,0,0,"Athletics","Women's 4 x 100m Relay"
"Ozge Akin-Gurler","Turkey",27,NA,NA,"F",NA,"AKHISAR (TUR)",0,0,0,0,"Athletics","Women's 4 x 400m Relay"
"Foluke Akinradewo","United States of America",24,1.91,79,"F",1987-05-10,"London (CAN)",0,0,0,0,"Volleyball","Women's Volleyball"
"Jonathan Akinyemi","Nigeria",23,1.83,79,"M",NA,"WARRINGTON (GBR)",0,0,0,0,"Canoe Slalom","Men's Kayak (K1)"
"Khadzhimurat Akkaev","Russian Federation",27,1.78,105,"M",NA,"TURNAUZ (RUS)",0,0,0,0,"Weightliftng","Men's 105kg"
"Malika Akkaoui","Morocco",24,1.6,49,"F",NA,"ZAIDA (MAR)",0,0,0,0,"Athletics","Women's 800m"
"Adnan Taess Akkar","Iraq",32,1.65,78,"M",NA,"WASSIT (IRQ)",0,0,0,0,"Athletics","Men's 800m"
"Youssef Akrout","Tunisia",21,1.8,78,"M",NA,"Tunis (TUN)",0,0,0,0,"Sailing","Men's Laser"
"Chie Akutsu","Japan",27,1.55,51,"F",NA,"IMAICHI (JPN)",0,0,0,0,"Hockey","Women's Hockey"
"Noah Akwu","Nigeria",21,1.6,74,"M",NA,"Enugu (NGR)",0,0,0,0,"Athletics","Men's 200m"
"Ahmed Ali Al Abri","United Arab Emirates",22,1.71,72,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Noor Amer Al Ameri","Iraq",18,NA,NA,"F",1994-12-01,"KARBALA (IRQ)",0,0,0,0,"Shooting","Women's 10m Air Pistol"
"Omar Abdulrahman Al Amoudi","United Arab Emirates",20,1.68,62,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Abdulaziz Hussain Al Balooshi","United Arab Emirates",21,1.78,66,"M",1990-10-09,"",0,0,0,0,"Football","Men's Football"
"Mubarak Al Besher","United Arab Emirates",24,NA,NA,"M",NA,"DUBAI (UAE)",0,0,0,0,"Swimming","Men's 100m Breaststroke"
"Ramzy Al Duhami","Saudi Arabia",40,NA,NA,"M",1972-05-01,"Riyadh (KSA)",0,0,0,0,"Equestrian","Individual Jumping, Team Jumping, BAYARD VAN DE VILLA THERE"
"Rashed Eisa Al Falasi","United Arab Emirates",21,1.76,65,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Habib Fardan Al Fardan","United Arab Emirates",21,1.79,71,"M",1990-11-11,"",0,0,0,0,"Football","Men's Football"
"Bahaa Al Farra","Palestine",21,1.75,65,"M",1991-10-03,"KHAN YOUNIS (PLE)",0,0,0,0,"Athletics","Men's 400m"
"Ali Mabkhout Al Hajeri","United Arab Emirates",21,1.76,71,"M",1990-05-10,"",0,0,0,0,"Football","Men's Football"
"Bahya Mansour Al Hamad","Qatar",20,1.66,69,"F",NA,"Qatar (QAT)",0,0,0,0,"Shooting","Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
"Amer Abdulrahman Al Hammadi","United Arab Emirates",23,1.68,68,"M",1989-03-07,"",0,0,0,0,"Football","Men's Football"
"Ismail Al Hammadi","United Arab Emirates",24,1.73,68,"M",1988-01-07,"",0,0,0,0,"Football","Men's Football"
"Ahmed Al Hatmi","Oman",27,1.7,70,"M",NA,"AL RUSTAQ (OMA)",0,0,0,0,"Shooting","Men's Double Trap"
"Ismaeil Matar Al Jneibi","United Arab Emirates",29,1.69,68,"M",1983-07-04,"",0,0,0,0,"Football","Men's Football"
"Ahmed Khalil Al Junaibi","United Arab Emirates",21,1.78,75,"M",1991-08-06,"",0,0,0,0,"Football","Men's Football"
"Dawoud Sulaiman Al Quiwaitaei","United Arab Emirates",22,1.81,80,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Hrh Prince Abdullah Al Saud","Saudi Arabia",27,NA,NA,"M",NA,"London (GBR)",0,0,0,0,"Equestrian","Individual Jumping, Team Jumping, DAVOS"
"Ali Ahmed Al-Amri","Saudi Arabia",27,NA,NA,"M",NA,"Tazzzf (KSA)",0,0,0,0,"Athletics","Men's 3000m Steeplechase"
"Rashid Al-Athba","Qatar",31,1.8,104,"M",NA,"Qatar (QAT)",0,0,0,0,"Shooting","Men's Trap, Men's Double Trap"
"Nasser Al-Attiya","Qatar",41,1.78,70,"M",NA,"Qatar (QAT)",0,0,1,1,"Shooting","Men's Skeet"
"Mohammad Al-Azemi","Kuwait",30,1.87,65,"M",NA,"KUWAIT (KUW)",0,0,0,0,"Athletics","Men's 800m"
"Mohanad Ahmed Dheyaa Al-Azzawi","Iraq",15,1.73,65,"M",NA,"BAGHDAD (IRQ)",0,0,0,0,"Swimming","Men's 100m Butterfly"
"Sultan Mubarak Al-Dawoodi","Saudi Arabia",35,NA,NA,"M",NA,"Bisha (KSA)",0,0,0,0,"Athletics","Men's Discus Throw"
"Mostafa Al-Gamel","Egypt",23,1.91,96,"M",1988-01-10,"GEIZA (EGY)",0,0,0,0,"Athletics","Men's Hammer Throw"
"Nabil Mohammed Al-Garbi","Yemen",18,1.75,65,"M",1993-03-11,"DHAMAR (YEM)",0,0,0,0,"Athletics","Men's 1500m"
"Mohamad Al-Garni","Qatar",20,1.7,55,"M",1992-02-07,"MOROCCO (MAR)",0,0,0,0,"Athletics","Men's 1500m"
"Shinoona Salah Al-Habsi","Oman",19,1.62,60,"F",1993-03-07,"AL KHOUDH (OMA)",0,0,0,0,"Athletics","Women's 100m"
"Barakat Mubarak Al-Harthi","Oman",24,1.71,67,"M",NA,"Ibra (OMA)",0,0,0,0,"Athletics","Men's 100m"
"Safaa Al-Jumaili","Iraq",22,1.75,83,"M",1990-01-01,"DIYALA",0,0,0,0,"Weightliftng","Men's 85kg"
"Hamdan Al-Kamali","United Arab Emirates",23,1.83,74,"M",1989-02-05,"",0,0,0,0,"Football","Men's Football"
"Tameem Mohammed Ahmed Al-Kubati","Yemen",23,1.68,NA,"M",1989-01-01,"SANA'A (YEM)",0,0,0,0,"Taekwondo","Men's -58kg"
