"PID","MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Alley","Lot.Shape","Land.Contour","Utilities","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Pool.QC","Fence","Misc.Feature","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition","SalePrice","Garage.Age"
527358140,20,"RL",105,11751,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,6,1977,1977,"Hip","CompShg","Plywood","Plywood","BrkFace",480,"TA","TA","CBlock","Gd","TA","No","BLQ",705,"Unf",0,1139,1844,"GasA","Ex","Y","SBrkr",1844,0,0,1844,0,0,2,0,3,1,"TA",7,"Typ",1,"TA","Attchd","RFn",2,546,"TA","TA","Y",0,122,0,0,0,0,"No","MnPrv","No",0,1,2010,"COD","Normal",190000,33
527358200,85,"RL",85,10625,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","SFoyer",7,6,1974,1974,"Gable","CompShg","Plywood","Plywood","BrkFace",81,"TA","TA","CBlock","Gd","TA","Gd","GLQ",885,"LwQ",168,0,1053,"GasA","TA","Y","SBrkr",1173,0,0,1173,1,0,2,0,3,1,"Gd",6,"Typ",2,"TA","Attchd","RFn",2,528,"TA","TA","Y",0,120,0,0,0,0,"No","MnPrv","No",0,1,2010,"WD ","Family",170000,36
527403020,20,"RL",65,8450,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1968,1968,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",775,"Unf",0,281,1056,"GasA","Ex","Y","SBrkr",1056,0,0,1056,1,0,1,0,3,1,"TA",6,"Typ",1,"Fa","Attchd","Unf",1,304,"TA","TA","Y",0,85,184,0,0,0,"No","No","No",0,7,2010,"WD ","Normal",142000,42
527404120,20,"RL",70,8400,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,5,1970,1970,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",804,"Rec",78,0,882,"GasA","TA","Y","SBrkr",882,0,0,882,1,0,1,0,2,1,"TA",4,"Typ",0,"No","Attchd","Fin",2,525,"TA","TA","Y",240,0,0,0,0,0,"No","MnPrv","No",0,4,2010,"WD ","Normal",126000,40
527427230,120,"RH",26,5858,"Pave","None","IR1","Lvl","AllPub","FR2","Gtl","NAmes","Norm","Norm","TwnhsE","1Story",7,5,1999,1999,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",1051,"BLQ",0,354,1405,"GasA","Ex","Y","SBrkr",1337,0,0,1337,1,0,2,0,2,1,"Gd",5,"Typ",1,"Fa","Attchd","Fin",2,511,"TA","TA","Y",203,68,0,0,0,0,"No","No","No",0,6,2010,"WD ","Normal",184000,11
527451330,160,"RM",21,1680,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",5,5,1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",492,"TA","TA","CBlock","TA","TA","No","Rec",300,"Unf",0,225,525,"GasA","TA","Y","SBrkr",525,567,0,1092,0,0,1,1,3,1,"TA",6,"Typ",0,"No","Detchd","Unf",1,320,"TA","TA","Y",0,0,0,0,0,0,"No","No","No",0,3,2010,"WD ","Normal",105500,13
527452190,120,"RL",53,4043,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NPkVill","Norm","Norm","TwnhsE","1Story",6,5,1977,1977,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No","ALQ",360,"Unf",0,709,1069,"GasA","TA","Y","SBrkr",1069,0,0,1069,0,0,2,0,2,1,"TA",4,"Typ",1,"Fa","Attchd","RFn",2,440,"TA","TA","Y",0,55,0,0,165,0,"No","No","No",0,7,2010,"WD ","Normal",127500,33
527453130,160,"RL",24,2280,"Pave","None","Reg","Lvl","AllPub","FR2","Gtl","NPkVill","Norm","Norm","Twnhs","2Story",6,6,1975,1975,"Gable","CompShg","Plywood","Brk Cmn","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",514,"Unf",0,341,855,"GasA","TA","Y","SBrkr",855,601,0,1456,0,0,2,1,3,1,"Gd",6,"Typ",1,"TA","Attchd","Unf",2,440,"TA","TA","Y",173,0,0,0,0,0,"No","No","No",0,6,2010,"WD ","Normal",149900,35
527453150,120,"RL",24,2280,"Pave","None","Reg","Lvl","AllPub","FR2","Gtl","NPkVill","Norm","Norm","Twnhs","1Story",7,6,1975,1975,"Gable","CompShg","Plywood","Brk Cmn","None",0,"TA","TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,836,836,"GasA","Ex","Y","SBrkr",836,0,0,836,0,0,1,0,2,1,"TA",4,"Typ",0,"No","Attchd","Unf",1,308,"TA","TA","Y",0,30,0,0,0,0,"No","No","No",0,6,2010,"WD ","Normal",120000,35
527454200,160,"RL",24,2280,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NPkVill","Norm","Norm","Twnhs","2Story",6,5,1978,1978,"Gable","CompShg","Plywood","Brk Cmn","None",0,"TA","TA","CBlock","Gd","TA","No","ALQ",311,"Unf",0,544,855,"GasA","Fa","Y","SBrkr",855,601,0,1456,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd","Unf",2,440,"TA","TA","Y",26,0,0,0,0,0,"No","No","No",0,7,2010,"WD ","Normal",146000,32
528120100,20,"RL",95,12182,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",7,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",226,"Gd","TA","PConc","Gd","TA","Mn","BLQ",1201,"Unf",0,340,1541,"GasA","Ex","Y","SBrkr",1541,0,0,1541,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","RFn",2,532,"TA","TA","Y",0,70,0,0,0,0,"No","No","No",0,5,2010,"New","Partial",220000,5
528120120,20,"RL",90,11520,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","PosN","Norm","1Fam","1Story",9,5,2005,2005,"Hip","CompShg","VinylSd","VinylSd","BrkFace",615,"Gd","TA","PConc","Ex","TA","No","GLQ",110,"Unf",0,1588,1698,"GasA","Ex","Y","SBrkr",1698,0,0,1698,0,0,2,0,3,1,"Ex",7,"Typ",1,"Gd","Attchd","Fin",3,730,"TA","TA","Y",192,74,0,0,0,0,"No","No","No",0,6,2010,"WD ","Normal",275000,5
528138020,20,"RL",79,14122,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2005,2006,"Hip","CompShg","CemntBd","CmentBd","BrkFace",240,"Gd","TA","PConc","Ex","TA","No","GLQ",28,"Unf",0,1794,1822,"GasA","Ex","Y","SBrkr",1822,0,0,1822,0,0,2,0,3,1,"Ex",8,"Typ",1,"Gd","Attchd","RFn",3,678,"TA","TA","Y",0,119,0,0,0,0,"No","No","No",0,2,2010,"WD ","Normal",259000,5
528138060,20,"RL",70,10171,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",168,"Gd","TA","PConc","Gd","TA","No","GLQ",2,"Unf",0,1515,1517,"GasA","Ex","Y","SBrkr",1535,0,0,1535,0,0,2,0,3,1,"Gd",7,"Typ",0,"No","Attchd","RFn",2,532,"TA","TA","Y",0,0,0,0,0,0,"No","No","No",0,3,2010,"WD ","Normal",214000,6
528150070,20,"RL",100,12919,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",9,5,2009,2010,"Hip","CompShg","VinylSd","VinylSd","Stone",760,"Ex","TA","PConc","Ex","TA","Gd","GLQ",2188,"Unf",0,142,2330,"GasA","Ex","Y","SBrkr",2364,0,0,2364,1,0,2,1,2,1,"Ex",11,"Typ",2,"Gd","Attchd","Fin",3,820,"TA","TA","Y",0,67,0,0,0,0,"No","No","No",0,3,2010,"New","Partial",611657,1
528176070,60,"RL",105,13650,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2002,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",232,"Gd","TA","PConc","Gd","TA","Gd","GLQ",578,"Unf",0,1093,1671,"GasA","Ex","Y","SBrkr",1687,563,0,2250,1,0,2,1,3,1,"Gd",7,"Typ",1,"Ex","Attchd","Fin",3,756,"TA","TA","Y",238,130,0,0,0,0,"No","No","No",0,6,2010,"WD ","Normal",320000,8
528180070,120,"RL",61,7658,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",412,"Ex","TA","PConc","Ex","TA","No","GLQ",456,"Unf",0,1296,1752,"GasA","Ex","Y","SBrkr",1752,0,0,1752,1,0,2,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd","RFn",2,576,"TA","TA","Y",196,82,0,0,0,0,"No","No","No",0,2,2010,"WD ","Normal",319900,5
528181050,120,"RL",41,7132,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",178,"Gd","TA","PConc","Gd","TA","Mn","GLQ",24,"Unf",0,1346,1370,"GasA","Ex","Y","SBrkr",1370,0,0,1370,0,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd","RFn",2,484,"TA","TA","Y",120,49,0,0,0,0,"No","No","No",0,4,2010,"WD ","Normal",205000,4
528188120,160,"RL",36,2628,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","Twnhs","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","Wd Shng","Stone",106,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,764,764,"GasA","Ex","Y","SBrkr",764,862,0,1626,0,0,2,1,2,1,"Gd",6,"Typ",0,"No","BuiltIn","RFn",2,474,"TA","TA","Y",0,27,0,0,0,0,"No","No","No",0,6,2010,"WD ","Normal",175500,7
528231020,80,"RL",67,13300,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","SLvl",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",326,"Unf",0,58,384,"GasA","Ex","Y","SBrkr",744,630,0,1374,1,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","BuiltIn","Fin",2,400,"TA","TA","Y",100,0,0,0,0,0,"No","No","No",0,6,2010,"WD ","Normal",184500,6
528240130,60,"RL",63,8577,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,847,847,"GasA","Ex","Y","SBrkr",847,886,0,1733,0,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","BuiltIn","Fin",2,433,"TA","TA","Y",144,48,0,0,0,0,"No","No","No",0,4,2010,"WD ","Normal",185088,6
528328100,60,"RL",108,14774,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","NoRidge","Norm","Norm","1Fam","2Story",9,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","BrkFace",165,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1393,1393,"GasA","Ex","Y","SBrkr",1422,1177,0,2599,0,0,2,1,4,1,"Gd",10,"Typ",1,"TA","BuiltIn","Fin",3,779,"TA","TA","Y",668,30,0,0,0,0,"No","No","No",0,5,2010,"WD ","Normal",333168,11
528358010,20,"RL",59,10593,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","1Story",7,5,1996,1996,"Hip","CompShg","VinylSd","VinylSd","BrkFace",338,"Gd","TA","PConc","Gd","TA","No","GLQ",919,"Unf",0,801,1720,"GasA","Ex","Y","SBrkr",1720,0,0,1720,1,0,2,0,3,1,"Gd",7,"Typ",1,"TA","Attchd","Fin",2,527,"TA","TA","Y",240,56,154,0,0,0,"No","No","No",0,3,2010,"WD ","Normal",260400,14
528363130,60,"RL",98,12256,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,1994,1995,"Gable","CompShg","HdBoard","HdBoard","BrkFace",362,"Gd","TA","PConc","Ex","TA","Av","GLQ",1032,"Unf",0,431,1463,"GasA","Ex","Y","SBrkr",1500,1122,0,2622,1,0,2,1,3,1,"Gd",9,"Typ",2,"TA","Attchd","RFn",2,712,"TA","TA","Y",186,32,0,0,0,0,"No","No","No",0,4,2010,"WD ","Normal",325000,16
528382020,60,"RL",92,11764,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,7,1999,2007,"Gable","CompShg","VinylSd","VinylSd","BrkFace",348,"Gd","TA","PConc","Gd","TA","No","GLQ",524,"Unf",0,628,1152,"GasA","Ex","Y","SBrkr",1164,1106,0,2270,0,0,2,1,4,1,"Gd",9,"Typ",1,"Gd","Attchd","Fin",3,671,"TA","TA","Y",132,57,0,0,0,0,"No","No","No",0,4,2010,"WD ","Normal",290000,11
528386040,50,"RL",56,14720,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","NoRidge","Norm","Norm","1Fam","1.5Fin",8,5,1995,1996,"Hip","CompShg","VinylSd","VinylSd","BrkFace",579,"Gd","TA","PConc","Gd","TA","Av","GLQ",816,"Unf",0,1217,2033,"GasA","Ex","Y","SBrkr",2053,1185,0,3238,1,0,2,1,4,1,"Gd",9,"Typ",1,"Ex","Attchd","Fin",3,666,"TA","TA","Y",283,86,0,0,0,0,"No","No","No",0,3,2010,"WD ","Normal",410000,14
528456160,20,"FV",92,9215,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",7,5,2009,2010,"Hip","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1218,1218,"GasA","Ex","Y","SBrkr",1218,0,0,1218,0,0,2,0,2,1,"Gd",4,"Typ",0,"No","Attchd","RFn",2,676,"TA","TA","Y",0,136,0,0,0,0,"No","No","No",0,4,2010,"New","Partial",204500,1
528458110,20,"FV",75,9000,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2008,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",36,"Gd","TA","PConc","Gd","TA","Av","GLQ",1078,"Unf",0,488,1566,"GasA","Ex","Y","SBrkr",1566,0,0,1566,1,0,2,0,3,1,"Gd",7,"Typ",0,"No","Attchd","RFn",2,750,"TA","TA","Y",144,168,0,0,0,0,"No","No","No",0,4,2010,"WD ","Normal",262500,2
528477080,60,"FV",100,12552,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","Somerst","Norm","Norm","1Fam","2Story",7,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",222,"Unf",0,769,991,"GasA","Ex","Y","SBrkr",991,956,0,1947,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd","RFn",2,678,"TA","TA","Y",0,136,0,0,0,0,"No","GdWo","No",0,5,2010,"WD ","Normal",254900,6
528480090,20,"FV",84,10440,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","Somerst","Norm","Norm","1Fam","1Story",6,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","No","GLQ",1414,"Unf",0,54,1468,"GasA","Ex","Y","SBrkr",1468,0,0,1468,1,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd","Fin",2,528,"TA","TA","Y",0,102,0,0,216,0,"No","No","No",0,5,2010,"WD ","Normal",271500,5
531367050,60,"RL",76,10142,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",656,"Unf",0,300,956,"GasA","Ex","Y","SBrkr",956,1128,0,2084,1,0,2,1,4,1,"Gd",8,"Typ",0,"No","BuiltIn","RFn",2,618,"TA","TA","Y",0,45,0,0,0,0,"No","No","No",0,1,2010,"WD ","Normal",233000,6
531451280,60,"RL",70,11218,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",6,5,1992,1992,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1055,1055,"GasA","Ex","Y","SBrkr",1055,790,0,1845,0,0,2,1,3,1,"Gd",8,"Typ",1,"TA","Attchd","RFn",2,462,"TA","TA","Y",635,104,0,0,0,0,"No","GdPrv","Shed",400,5,2010,"WD ","Normal",189000,18
531452020,120,"RL",55,7892,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","TwnhsE","1Story",6,5,1979,1979,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,918,918,"GasA","TA","Y","SBrkr",918,0,0,918,0,0,2,0,2,1,"TA",5,"Typ",1,"TA","Attchd","Unf",1,264,"TA","TA","Y",28,0,0,0,0,0,"No","No","No",0,4,2010,"WD ","Normal",99500,31
531453040,60,"RL",70,8400,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",6,6,1980,1981,"Gable","CompShg","HdBoard","HdBoard","BrkFace",130,"TA","TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,650,650,"GasA","TA","Y","SBrkr",888,676,0,1564,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd","Unf",2,476,"TA","TA","Y",0,50,0,0,204,0,"No","MnPrv","No",0,4,2010,"WD ","Normal",171000,30
532354090,85,"RL",88,11782,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","SFoyer",5,7,1961,1995,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","Av","ALQ",899,"Unf",0,210,1109,"GasA","TA","Y","SBrkr",1155,0,0,1155,1,0,1,0,3,1,"Gd",6,"Min2",0,"No","Detchd","Unf",2,576,"TA","TA","Y",192,0,0,0,0,0,"No","MnPrv","Shed",400,6,2010,"WD ","Normal",148000,23
532376160,20,"RL",65,8450,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","RRAe","Norm","1Fam","1Story",5,8,1965,2009,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","No","GLQ",553,"BLQ",117,224,894,"GasA","Ex","Y","SBrkr",894,0,0,894,1,0,1,0,3,1,"TA",5,"Typ",1,"Gd","Detchd","Unf",1,336,"TA","TA","Y",416,144,0,0,0,0,"No","MnPrv","No",0,4,2010,"WD ","Normal",138500,37
532479070,20,"RL",39,15410,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","Sawyer","RRNe","Norm","1Fam","1Story",6,6,1974,2002,"Hip","CompShg","Plywood","Plywood","BrkCmn",250,"TA","Gd","CBlock","TA","TA","Gd","BLQ",126,"GLQ",859,223,1208,"GasA","Ex","Y","SBrkr",1494,0,0,1494,1,0,2,0,3,1,"TA",7,"Typ",2,"Fa","Attchd","Fin",2,461,"TA","TA","Y",296,0,186,0,0,0,"No","GdPrv","No",0,4,2010,"WD ","Abnorml",169000,36
